Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
366000,1,2016-01-01,,265598,10,1304,1,CAD
366001,1,2016-01-01,1/13/2016,1269051,0,1048,2,USD
366001,2,2016-01-01,1/13/2016,1269051,0,2007,1,USD
366002,1,2016-01-01,01-12-2016,266019,0,1106,7,CAD
366002,2,2016-01-01,01-12-2016,266019,0,373,1,CAD
366002,3,2016-01-01,01-12-2016,266019,0,1080,4,CAD
366004,1,2016-01-01,,1107461,38,163,6,GBP
366004,2,2016-01-01,,1107461,38,1529,2,GBP
366005,1,2016-01-01,,844003,33,421,4,EUR
366007,1,2016-01-01,,2035771,43,1617,1,USD
366007,2,2016-01-01,,2035771,43,666,5,USD
366008,1,2016-01-01,,759705,29,1154,9,EUR
366008,2,2016-01-01,,759705,29,2510,1,EUR
366008,3,2016-01-01,,759705,29,1060,5,EUR
366009,1,2016-01-01,,254540,9,1648,1,CAD
366010,1,2016-01-01,01-08-2016,370077,0,618,5,CAD
366011,1,2016-01-01,,1984985,66,128,7,USD
366011,2,2016-01-01,,1984985,66,1638,1,USD
366011,3,2016-01-01,,1984985,66,1634,1,USD
366011,4,2016-01-01,,1984985,66,2392,3,USD
366012,1,2016-01-01,,1977527,65,1807,1,USD
366012,2,2016-01-01,,1977527,65,1594,4,USD
366012,3,2016-01-01,,1977527,65,1297,1,USD
366013,1,2016-01-01,,1187306,41,1654,5,GBP
366014,1,2016-01-01,01-06-2016,738549,0,123,1,EUR
366014,2,2016-01-01,01-06-2016,738549,0,1700,2,EUR
366016,1,2016-01-01,,1982762,63,1253,7,USD
367000,1,2016-02-01,,1438050,56,1176,1,USD
367003,1,2016-02-01,,980164,40,153,2,GBP
367004,1,2016-02-01,,1853699,56,136,1,USD
367004,2,2016-02-01,,1853699,56,1637,4,USD
367005,1,2016-02-01,01-10-2016,758280,0,1691,1,EUR
367005,2,2016-02-01,01-10-2016,758280,0,319,2,EUR
367005,3,2016-02-01,01-10-2016,758280,0,1674,8,EUR
367005,4,2016-02-01,01-10-2016,758280,0,2511,9,EUR
367005,5,2016-02-01,01-10-2016,758280,0,1720,2,EUR
367005,6,2016-02-01,01-10-2016,758280,0,1597,7,EUR
367005,7,2016-02-01,01-10-2016,758280,0,784,1,EUR
367006,1,2016-02-01,,693285,18,2445,3,EUR
367007,1,2016-02-01,,1730985,57,65,7,USD
367007,2,2016-02-01,,1730985,57,1432,9,USD
367008,1,2016-02-01,,763246,28,1951,3,EUR
367009,1,2016-02-01,,1512558,57,934,1,USD
367009,2,2016-02-01,,1512558,57,930,8,USD
367009,3,2016-02-01,,1512558,57,1436,5,USD
367009,4,2016-02-01,,1512558,57,1547,3,USD
367009,5,2016-02-01,,1512558,57,53,5,USD
367010,1,2016-02-01,,1322959,66,917,1,USD
367010,2,2016-02-01,,1322959,66,39,1,USD
367011,1,2016-02-01,,507981,22,39,1,EUR
367012,1,2016-02-01,,209990,9,1653,5,CAD
367012,2,2016-02-01,,209990,9,145,3,CAD
367013,1,2016-02-01,,815458,31,1733,2,EUR
367013,2,2016-02-01,,815458,31,41,6,EUR
367014,1,2016-02-01,,1839627,56,1184,3,USD
367015,1,2016-02-01,,911025,42,2296,7,GBP
367016,1,2016-02-01,,1633409,63,1487,1,USD
367016,2,2016-02-01,,1633409,63,558,7,USD
367016,3,2016-02-01,,1633409,63,206,3,USD
367017,1,2016-02-01,,1612400,47,1203,4,USD
367018,1,2016-02-01,,1301565,59,1245,2,USD
367018,2,2016-02-01,,1301565,59,1973,4,USD
367018,3,2016-02-01,,1301565,59,731,4,USD
367019,1,2016-02-01,,793573,29,1947,2,EUR
367019,2,2016-02-01,,793573,29,1645,7,EUR
367019,3,2016-02-01,,793573,29,371,7,EUR
367020,1,2016-02-01,,799366,29,448,6,EUR
367020,2,2016-02-01,,799366,29,1975,1,EUR
367021,1,2016-02-01,,243917,10,1445,4,CAD
367021,2,2016-02-01,,243917,10,1624,6,CAD
367021,3,2016-02-01,,243917,10,1615,2,CAD
367022,1,2016-02-01,,942807,42,1596,1,GBP
367022,2,2016-02-01,,942807,42,1253,7,GBP
367022,3,2016-02-01,,942807,42,663,3,GBP
367022,4,2016-02-01,,942807,42,1194,6,GBP
367023,1,2016-02-01,,129318,2,1139,5,AUD
367023,2,2016-02-01,,129318,2,1031,2,AUD
367024,1,2016-02-01,,1713253,50,302,8,USD
367024,2,2016-02-01,,1713253,50,2105,5,USD
367025,1,2016-02-01,,1736623,56,1608,1,USD
367025,2,2016-02-01,,1736623,56,1641,2,USD
367025,3,2016-02-01,,1736623,56,1574,3,USD
367026,1,2016-02-01,,1836599,53,2218,2,USD
367026,2,2016-02-01,,1836599,53,78,1,USD
367027,1,2016-02-01,,1482586,53,2451,3,USD
367027,2,2016-02-01,,1482586,53,1645,1,USD
367027,3,2016-02-01,,1482586,53,1728,2,USD
367028,1,2016-02-01,01-11-2016,607356,0,976,1,EUR
367028,2,2016-02-01,01-11-2016,607356,0,2017,3,EUR
367029,1,2016-02-01,,1260533,66,1607,1,USD
367029,2,2016-02-01,,1260533,66,1223,7,USD
367030,1,2016-02-01,,1843882,51,2010,7,USD
367030,2,2016-02-01,,1843882,51,426,1,USD
367031,1,2016-02-01,01-07-2016,909014,0,120,3,GBP
